Instância,Dados Iniciais,Diagnóstico Inicial,Diagnóstico do Modelo,Contribuições
263,"{'Temperature': 18.8, 'Humidity': 72.3, 'PM2.5': 8.8, 'PM10': 12.2, 'NO2': 18.7, 'SO2': 3.2, 'CO': 0.85, 'Proximity_to_Industrial_Areas': 13.1, 'Population_Density': 498.0}",Good,Good,"{'PM10 <= -0.65': -0.035743791763884154, 'Temperature <= -0.73': -0.023375159408595927, 'CO <= -0.86': -0.02209379690511397, 'NO2 <= -0.71': -0.016378305057467603, 'SO2 <= -0.73': -0.016063366450815835}"
264,"{'Temperature': 31.6, 'Humidity': 84.6, 'PM2.5': 102.4, 'PM10': 137.1, 'NO2': 49.3, 'SO2': 15.6, 'CO': 2.11, 'Proximity_to_Industrial_Areas': 3.8, 'Population_Density': 777.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.1190558941143803, 'CO > 0.62': 0.06552866749578949, 'Population_Density > 0.68': 0.04835962305245512, 'PM2.5 > 0.25': -0.04414649050083815, 'Proximity_to_Industrial_Areas <= -0.84': 0.03234481184023752}"
265,"{'Temperature': 26.7, 'Humidity': 52.8, 'PM2.5': 27.3, 'PM10': 31.8, 'NO2': 15.6, 'SO2': 1.9000000000000004, 'CO': 0.89, 'Proximity_to_Industrial_Areas': 11.9, 'Population_Density': 318.0}",Good,Good,"{'Population_Density <= -0.75': -0.03397244437037811, 'PM2.5 > 0.25': -0.02943185472651087, '-0.31 < PM10 <= 0.30': -0.028541805479371834, 'Humidity <= -0.74': -0.027072976211734996, 'CO <= -0.86': -0.024769128499059965}"
266,"{'Temperature': 32.4, 'Humidity': 82.2, 'PM2.5': 11.2, 'PM10': 16.0, 'NO2': 26.0, 'SO2': 4.5, 'CO': 1.45, 'Proximity_to_Industrial_Areas': 6.8, 'Population_Density': 601.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.0444246119776244, 'Humidity > 0.65': 0.028802127331443463, 'SO2 <= -0.73': -0.015987338589303176, '-0.63 < PM2.5 <= -0.33': 0.013076958597887935, '-0.14 < NO2 <= 0.61': -0.007292155076885788}"
267,"{'Temperature': 31.1, 'Humidity': 59.7, 'PM2.5': 29.0, 'PM10': 47.1, 'NO2': 24.9, 'SO2': 10.2, 'CO': 2.17, 'Proximity_to_Industrial_Areas': 4.4, 'Population_Density': 822.0}",Poor,Poor,"{'PM10 > 0.30': 0.11229313119617383, 'CO > 0.62': 0.06116666035990034, 'Population_Density > 0.68': 0.05656418888941931, 'PM2.5 > 0.25': -0.03618929636600197, 'Proximity_to_Industrial_Areas <= -0.84': 0.03509178204802402}"
268,"{'Temperature': 38.2, 'Humidity': 63.2, 'PM2.5': 37.1, 'PM10': 49.7, 'NO2': 32.6, 'SO2': 26.1, 'CO': 2.27, 'Proximity_to_Industrial_Areas': 7.2, 'Population_Density': 590.0}",Poor,Poor,"{'PM10 > 0.30': 0.12006645641071802, 'CO > 0.62': 0.06444283933490737, 'PM2.5 > 0.25': -0.03865842603696843, 'SO2 > 0.55': 0.03185889229893346, 'NO2 > 0.61': 0.028942994438870443}"
269,"{'Temperature': 34.3, 'Humidity': 89.5, 'PM2.5': 9.4, 'PM10': 15.599999999999998, 'NO2': 28.4, 'SO2': 9.4, 'CO': 1.48, 'Proximity_to_Industrial_Areas': 6.0, 'Population_Density': 505.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.048644524266221734, 'Temperature > 0.61': 0.031327213360300844, 'Humidity > 0.65': 0.02478645535024281, '-0.63 < PM2.5 <= -0.33': 0.011961021298706543, '-0.17 < CO <= 0.62': -0.006050818549452772}"
270,"{'Temperature': 20.1, 'Humidity': 41.7, 'PM2.5': 3.6000000000000014, 'PM10': 8.2, 'NO2': 23.2, 'SO2': 9.1, 'CO': 0.97, 'Proximity_to_Industrial_Areas': 10.4, 'Population_Density': 370.0}",Good,Good,"{'PM10 <= -0.65': -0.03906380700698771, 'Population_Density <= -0.75': -0.03677881300762042, 'CO <= -0.86': -0.022628746344085546, 'Humidity <= -0.74': -0.021364050423041188, 'Temperature <= -0.73': -0.016552243355340328}"
271,"{'Temperature': 29.0, 'Humidity': 70.1, 'PM2.5': 28.8, 'PM10': 40.1, 'NO2': 23.1, 'SO2': 0.8000000000000007, 'CO': 1.54, 'Proximity_to_Industrial_Areas': 7.0, 'Population_Density': 531.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.10156483803001473, 'PM2.5 > 0.25': -0.033892907201780675, 'SO2 <= -0.73': -0.016131040777159846, '-0.73 < Temperature <= -0.15': -0.0137790067848015, '-0.01 < Humidity <= 0.65': 0.012244310313078953}"
272,"{'Temperature': 33.4, 'Humidity': 52.7, 'PM2.5': 53.5, 'PM10': 63.4, 'NO2': 26.5, 'SO2': 10.0, 'CO': 1.32, 'Proximity_to_Industrial_Areas': 12.4, 'Population_Density': 329.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.11296747228728161, 'Population_Density <= -0.75': -0.03923893475305832, 'PM2.5 > 0.25': -0.03196458074140359, '-0.86 < CO <= -0.17': -0.026696735058092915, 'Humidity <= -0.74': -0.024878904632485484}"
273,"{'Temperature': 26.2, 'Humidity': 62.3, 'PM2.5': 5.899999999999999, 'PM10': 9.600000000000001, 'NO2': 23.6, 'SO2': 8.6, 'CO': 1.4, 'Proximity_to_Industrial_Areas': 7.9, 'Population_Density': 685.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.045125188409508285, 'Population_Density > 0.68': 0.04381160971125414, '-0.86 < CO <= -0.17': -0.022941588952492098, '-0.63 < PM2.5 <= -0.33': 0.01059271652287719, '-0.71 < NO2 <= -0.14': -0.009335119072756996}"
274,"{'Temperature': 20.0, 'Humidity': 53.3, 'PM2.5': 3.6999999999999993, 'PM10': 12.899999999999999, 'NO2': 26.1, 'SO2': 6.6, 'CO': 1.09, 'Proximity_to_Industrial_Areas': 10.2, 'Population_Density': 538.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03847090640830915, 'Humidity <= -0.74': -0.02492757590636056, '-0.86 < CO <= -0.17': -0.022272306890471886, 'PM2.5 <= -0.63': 0.01583119569080003, 'Temperature <= -0.73': -0.01527856592043248}"
275,"{'Temperature': 42.2, 'Humidity': 79.3, 'PM2.5': 44.7, 'PM10': 65.4, 'NO2': 29.9, 'SO2': 21.2, 'CO': 2.26, 'Proximity_to_Industrial_Areas': 2.9000000000000004, 'Population_Density': 523.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.12981817348311578, 'CO > 0.62': 0.06307045631759167, 'PM2.5 > 0.25': -0.040472722172406266, 'Temperature > 0.61': 0.03670424968361032, 'SO2 > 0.55': 0.03162011272947668}"
276,"{'Temperature': 41.9, 'Humidity': 100.5, 'PM2.5': 93.8, 'PM10': 116.9, 'NO2': 41.8, 'SO2': 4.7, 'CO': 2.75, 'Proximity_to_Industrial_Areas': 6.9, 'Population_Density': 827.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.11512523705724803, 'CO > 0.62': 0.06680797947398673, 'Population_Density > 0.68': 0.04944820265905135, 'PM2.5 > 0.25': -0.03931258900279312, 'Humidity > 0.65': 0.03654400143207682}"
277,"{'Temperature': 22.7, 'Humidity': 68.4, 'PM2.5': 14.6, 'PM10': 25.8, 'NO2': 26.5, 'SO2': 3.0, 'CO': 1.37, 'Proximity_to_Industrial_Areas': 5.4, 'Population_Density': 321.0}",Moderate,Moderate,"{'Population_Density <= -0.75': -0.03677225515821819, '-0.31 < PM10 <= 0.30': -0.032441521498922425, 'Proximity_to_Industrial_Areas <= -0.84': 0.029120704846170842, '-0.86 < CO <= -0.17': -0.021195325967973973, 'Temperature <= -0.73': -0.0197011285013541}"
278,"{'Temperature': 25.7, 'Humidity': 57.2, 'PM2.5': 7.499999999999998, 'PM10': 14.7, 'NO2': 14.8, 'SO2': 2.6000000000000005, 'CO': 1.08, 'Proximity_to_Industrial_Areas': 14.0, 'Population_Density': 319.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.0353747013862476, 'Population_Density <= -0.75': -0.029602645418543724, 'Humidity <= -0.74': -0.024765790582106997, 'SO2 <= -0.73': -0.016488330927739124, '-0.86 < CO <= -0.17': -0.0161333729048873}"
279,"{'Temperature': 40.1, 'Humidity': 70.3, 'PM2.5': 9.9, 'PM10': 29.4, 'NO2': 38.0, 'SO2': 15.9, 'CO': 1.68, 'Proximity_to_Industrial_Areas': 4.0, 'Population_Density': 581.0}",Poor,Poor,"{'Proximity_to_Industrial_Areas <= -0.84': 0.0383103196903522, 'Temperature > 0.61': 0.037056658264806454, '-0.31 < PM10 <= 0.30': -0.03485899210699388, 'SO2 > 0.55': 0.031352085931313264, 'NO2 > 0.61': 0.018520514031010796}"
280,"{'Temperature': 29.6, 'Humidity': 46.2, 'PM2.5': 0.8000000000000007, 'PM10': 4.399999999999999, 'NO2': 26.8, 'SO2': 3.5999999999999996, 'CO': 1.03, 'Proximity_to_Industrial_Areas': 11.9, 'Population_Density': 300.0}",Good,Good,"{'PM10 <= -0.65': -0.04277015526566083, 'Population_Density <= -0.75': -0.03761135474781151, 'Humidity <= -0.74': -0.02721882613045127, 'CO <= -0.86': -0.02336137131399905, 'Proximity_to_Industrial_Areas > 0.74': -0.01634635982002498}"
281,"{'Temperature': 43.2, 'Humidity': 98.2, 'PM2.5': 6.1, 'PM10': 32.9, 'NO2': 42.3, 'SO2': 19.8, 'CO': 2.26, 'Proximity_to_Industrial_Areas': 4.1, 'Population_Density': 797.0}",Hazardous,Hazardous,"{'CO > 0.62': 0.06535638742984244, 'Population_Density > 0.68': 0.05416273635223449, 'Proximity_to_Industrial_Areas <= -0.84': 0.04671963880583405, 'Temperature > 0.61': 0.03513436300668935, 'SO2 > 0.55': 0.03067776376107594}"
282,"{'Temperature': 25.3, 'Humidity': 50.3, 'PM2.5': 11.5, 'PM10': 16.8, 'NO2': 23.7, 'SO2': 6.7, 'CO': 0.89, 'Proximity_to_Industrial_Areas': 10.7, 'Population_Density': 349.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03791778959906886, 'Population_Density <= -0.75': -0.034905206778427976, 'CO <= -0.86': -0.027732559910105085, 'Humidity <= -0.74': -0.026254246472522152, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.021357372370335807}"
283,"{'Temperature': 25.7, 'Humidity': 78.3, 'PM2.5': 1.1999999999999993, 'PM10': 8.0, 'NO2': 18.5, 'SO2': 5.3, 'CO': 1.09, 'Proximity_to_Industrial_Areas': 16.4, 'Population_Density': 526.0}",Good,Good,"{'PM10 <= -0.65': -0.041638574799811784, 'PM2.5 <= -0.63': 0.0184410328352939, 'Proximity_to_Industrial_Areas > 0.74': -0.016837596802581473, '-0.86 < CO <= -0.17': -0.016580868118415013, '-0.01 < Humidity <= 0.65': 0.011880526173476142}"
284,"{'Temperature': 43.0, 'Humidity': 83.1, 'PM2.5': 58.2, 'PM10': 80.2, 'NO2': 34.7, 'SO2': 9.1, 'CO': 1.88, 'Proximity_to_Industrial_Areas': 6.0, 'Population_Density': 375.0}",Poor,Poor,"{'PM10 > 0.30': 0.10533431654280835, 'CO > 0.62': 0.0641568435005246, 'PM2.5 > 0.25': -0.03917016801773977, 'Population_Density <= -0.75': -0.03353967765917085, 'NO2 > 0.61': 0.03216597785905926}"
285,"{'Temperature': 34.3, 'Humidity': 48.9, 'PM2.5': 18.1, 'PM10': 27.7, 'NO2': 29.2, 'SO2': 5.4, 'CO': 1.65, 'Proximity_to_Industrial_Areas': 5.6, 'Population_Density': 304.0}",Moderate,Moderate,"{'Population_Density <= -0.75': -0.036417330835619405, 'Temperature > 0.61': 0.034174094795797756, '-0.31 < PM10 <= 0.30': -0.03329102733180607, 'Humidity <= -0.74': -0.021012798790564415, '-0.17 < CO <= 0.62': -0.015081665420182683}"
286,"{'Temperature': 30.4, 'Humidity': 80.0, 'PM2.5': 10.6, 'PM10': 17.9, 'NO2': 19.3, 'SO2': 3.8, 'CO': 0.87, 'Proximity_to_Industrial_Areas': 12.5, 'Population_Density': 464.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03741082478818295, 'CO <= -0.86': -0.03073881107991887, '-0.75 < Population_Density <= -0.02': -0.026476127979149715, 'NO2 <= -0.71': -0.01652951278606975, '-0.63 < PM2.5 <= -0.33': 0.013870679555576505}"
287,"{'Temperature': 38.4, 'Humidity': 73.3, 'PM2.5': 78.9, 'PM10': 94.5, 'NO2': 23.9, 'SO2': 23.0, 'CO': 2.03, 'Proximity_to_Industrial_Areas': 4.1, 'Population_Density': 615.0}",Poor,Poor,"{'PM10 > 0.30': 0.12078443164655676, 'CO > 0.62': 0.05420826832459551, 'Population_Density > 0.68': 0.046393801566561046, 'PM2.5 > 0.25': -0.03527924714350215, 'SO2 > 0.55': 0.02599624262486161}"
288,"{'Temperature': 35.9, 'Humidity': 77.2, 'PM2.5': 14.9, 'PM10': 21.1, 'NO2': 29.4, 'SO2': 12.3, 'CO': 1.5, 'Proximity_to_Industrial_Areas': 5.4, 'Population_Density': 489.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.03913803811013458, 'Temperature > 0.61': 0.03209473305006741, 'Proximity_to_Industrial_Areas <= -0.84': 0.02824514459422714, '-0.75 < Population_Density <= -0.02': -0.017673261099443477, '-0.17 < CO <= 0.62': -0.01706856988904206}"
289,"{'Temperature': 27.1, 'Humidity': 46.8, 'PM2.5': 26.3, 'PM10': 34.7, 'NO2': 16.5, 'SO2': 6.6, 'CO': 0.92, 'Proximity_to_Industrial_Areas': 10.6, 'Population_Density': 428.0}",Good,Good,"{'CO <= -0.86': -0.031683348499256775, '-0.31 < PM10 <= 0.30': -0.02721791270570825, 'Humidity <= -0.74': -0.019363567734862763, '-0.75 < Population_Density <= -0.02': -0.016742553969882227, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.015053724191113858}"
290,"{'Temperature': 26.0, 'Humidity': 85.9, 'PM2.5': 0.6000000000000014, 'PM10': 12.5, 'NO2': 25.0, 'SO2': 6.1, 'CO': 2.0, 'Proximity_to_Industrial_Areas': 6.5, 'Population_Density': 544.0}",Moderate,Moderate,"{'CO > 0.62': 0.06208539895325488, '-0.65 < PM10 <= -0.31': -0.03797725358637919, 'Humidity > 0.65': 0.02976805344739994, 'PM2.5 <= -0.63': 0.019746393381301828, '-0.71 < NO2 <= -0.14': -0.01798559935832239}"
291,"{'Temperature': 23.1, 'Humidity': 67.4, 'PM2.5': 11.5, 'PM10': 26.7, 'NO2': 18.0, 'SO2': 10.9, 'CO': 1.83, 'Proximity_to_Industrial_Areas': 6.5, 'Population_Density': 332.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.027963128152387242, 'Population_Density <= -0.75': -0.02693051758934043, 'Temperature <= -0.73': -0.015067561541901612, 'NO2 <= -0.71': -0.014955680573138185, '-0.63 < PM2.5 <= -0.33': 0.012409647688211487}"
292,"{'Temperature': 50.6, 'Humidity': 96.3, 'PM2.5': 42.0, 'PM10': 61.60000000000001, 'NO2': 33.6, 'SO2': 33.9, 'CO': 1.97, 'Proximity_to_Industrial_Areas': 3.0, 'Population_Density': 477.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.123837337400471, 'CO > 0.62': 0.058327022662416454, 'SO2 > 0.55': 0.04287745327637261, 'PM2.5 > 0.25': -0.03641486497573567, 'Humidity > 0.65': 0.03050614028639659}"
293,"{'Temperature': 28.3, 'Humidity': 71.1, 'PM2.5': 16.1, 'PM10': 19.8, 'NO2': 19.0, 'SO2': 3.2, 'CO': 0.97, 'Proximity_to_Industrial_Areas': 10.1, 'Population_Density': 256.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03930719077753657, 'Population_Density <= -0.75': -0.031242426439050043, 'CO <= -0.86': -0.028311389410290298, 'SO2 <= -0.73': -0.015488834183525892, '-0.01 < Humidity <= 0.65': 0.01339030290861786}"
294,"{'Temperature': 24.8, 'Humidity': 41.0, 'PM2.5': 4.699999999999999, 'PM10': 11.8, 'NO2': 13.7, 'SO2': 2.5, 'CO': 0.94, 'Proximity_to_Industrial_Areas': 13.5, 'Population_Density': 538.0}",Good,Good,"{'PM10 <= -0.65': -0.037660243353192346, 'Humidity <= -0.74': -0.027319984521929793, 'CO <= -0.86': -0.024393258068675382, 'NO2 <= -0.71': -0.019048851748788002, 'Temperature <= -0.73': -0.017142089487447453}"
295,"{'Temperature': 32.2, 'Humidity': 42.8, 'PM2.5': 24.8, 'PM10': 37.3, 'NO2': 26.9, 'SO2': 16.8, 'CO': 1.16, 'Proximity_to_Industrial_Areas': 5.8, 'Population_Density': 453.0}",Moderate,Moderate,"{'SO2 > 0.55': 0.029228060900354992, '-0.31 < PM10 <= 0.30': -0.027068134640509202, 'Humidity <= -0.74': -0.02141333933100883, '-0.86 < CO <= -0.17': -0.020420862332863714, '-0.75 < Population_Density <= -0.02': -0.016086878795777124}"
296,"{'Temperature': 31.4, 'Humidity': 76.2, 'PM2.5': 4.6, 'PM10': 20.9, 'NO2': 26.2, 'SO2': 11.3, 'CO': 1.49, 'Proximity_to_Industrial_Areas': 6.8, 'Population_Density': 296.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.037659764108954004, 'Population_Density <= -0.75': -0.035286156153496236, 'PM2.5 <= -0.63': 0.02518283610588321, '-0.84 < Proximity_to_Industrial_Areas <= -0.15': -0.005401520606479561, '-0.17 < CO <= 0.62': -0.003073129605579205}"
297,"{'Temperature': 31.4, 'Humidity': 70.0, 'PM2.5': 19.8, 'PM10': 30.5, 'NO2': 28.6, 'SO2': 13.3, 'CO': 1.86, 'Proximity_to_Industrial_Areas': 14.6, 'Population_Density': 364.0}",Moderate,Poor,"{'CO > 0.62': 0.05475532053591745, 'Population_Density <= -0.75': -0.03989570206737422, '-0.31 < PM10 <= 0.30': -0.02913285491777404, '-0.01 < Humidity <= 0.65': 0.011071744806682146, 'Proximity_to_Industrial_Areas > 0.74': -0.005987273933723635}"
298,"{'Temperature': 21.9, 'Humidity': 80.0, 'PM2.5': 1.1000000000000014, 'PM10': 6.0, 'NO2': 21.8, 'SO2': 11.4, 'CO': 1.77, 'Proximity_to_Industrial_Areas': 6.5, 'Population_Density': 642.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.0444576540928435, 'PM10 <= -0.65': -0.03719236361492367, 'PM2.5 <= -0.63': 0.02196811644506324, '-0.71 < NO2 <= -0.14': -0.009785335411777032, 'Temperature <= -0.73': -0.008780884783801278}"
299,"{'Temperature': 30.8, 'Humidity': 53.9, 'PM2.5': 6.9, 'PM10': 21.5, 'NO2': 26.0, 'SO2': 5.8, 'CO': 1.44, 'Proximity_to_Industrial_Areas': 5.4, 'Population_Density': 447.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.032040813312392426, 'Proximity_to_Industrial_Areas <= -0.84': 0.030840766661086847, 'Humidity <= -0.74': -0.024322584822741005, '-0.63 < PM2.5 <= -0.33': 0.01677953607196042, '-0.75 < Population_Density <= -0.02': -0.011618373302113854}"
300,"{'Temperature': 23.5, 'Humidity': 74.5, 'PM2.5': 1.6999999999999993, 'PM10': 5.899999999999999, 'NO2': 25.3, 'SO2': 4.9, 'CO': 1.01, 'Proximity_to_Industrial_Areas': 12.4, 'Population_Density': 312.0}",Good,Good,"{'PM10 <= -0.65': -0.04315956370250116, 'Population_Density <= -0.75': -0.036418082964385486, 'CO <= -0.86': -0.030100923649804295, 'PM2.5 <= -0.63': 0.024953196343630715, 'Temperature <= -0.73': -0.020940294889301457}"
301,"{'Temperature': 33.3, 'Humidity': 82.6, 'PM2.5': 1.1999999999999993, 'PM10': 5.600000000000001, 'NO2': 30.1, 'SO2': 5.9, 'CO': 1.32, 'Proximity_to_Industrial_Areas': 5.9, 'Population_Density': 310.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.04519634506571563, 'Population_Density <= -0.75': -0.035690227007126464, 'Humidity > 0.65': 0.02742898271589561, '-0.86 < CO <= -0.17': -0.02572902032959095, 'PM2.5 <= -0.63': 0.01862706967850351}"
302,"{'Temperature': 39.3, 'Humidity': 67.4, 'PM2.5': 12.1, 'PM10': 19.7, 'NO2': 22.3, 'SO2': 7.5, 'CO': 1.75, 'Proximity_to_Industrial_Areas': 5.1, 'Population_Density': 514.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.03901063493313656, 'Proximity_to_Industrial_Areas <= -0.84': 0.032620789801178655, 'Temperature > 0.61': 0.02867196635415191, '-0.73 < SO2 <= -0.29': -0.011210596635918894, '-0.02 < Population_Density <= 0.68': 0.011205697125540783}"
303,"{'Temperature': 27.2, 'Humidity': 46.0, 'PM2.5': 4.499999999999998, 'PM10': 8.3, 'NO2': 24.2, 'SO2': 6.1, 'CO': 1.06, 'Proximity_to_Industrial_Areas': 12.5, 'Population_Density': 545.0}",Good,Good,"{'PM10 <= -0.65': -0.039059503715885506, 'Humidity <= -0.74': -0.02364786597704564, 'PM2.5 <= -0.63': 0.023527150876458323, '-0.86 < CO <= -0.17': -0.022521866486429377, 'Proximity_to_Industrial_Areas > 0.74': -0.014743667354945353}"
304,"{'Temperature': 33.3, 'Humidity': 66.3, 'PM2.5': 13.6, 'PM10': 25.8, 'NO2': 19.3, 'SO2': 12.9, 'CO': 1.41, 'Proximity_to_Industrial_Areas': 8.4, 'Population_Density': 460.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.026629739168638242, '-0.86 < CO <= -0.17': -0.018147091317618096, 'NO2 <= -0.71': -0.011802628434840513, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.011049316434050467, '-0.33 < PM2.5 <= 0.25': -0.008750304836087304}"
305,"{'Temperature': 41.5, 'Humidity': 96.7, 'PM2.5': 30.7, 'PM10': 47.9, 'NO2': 34.0, 'SO2': 15.8, 'CO': 2.02, 'Proximity_to_Industrial_Areas': 3.4000000000000004, 'Population_Density': 584.0}",Poor,Poor,"{'PM10 > 0.30': 0.11521318495000725, 'CO > 0.62': 0.06838717698148342, 'Proximity_to_Industrial_Areas <= -0.84': 0.036846143679289116, 'PM2.5 > 0.25': -0.03439878688638352, 'SO2 > 0.55': 0.0331445954173278}"
306,"{'Temperature': 27.0, 'Humidity': 45.3, 'PM2.5': 1.8000000000000007, 'PM10': 14.100000000000001, 'NO2': 34.1, 'SO2': 11.4, 'CO': 1.64, 'Proximity_to_Industrial_Areas': 6.5, 'Population_Density': 615.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.040796117087969805, '-0.65 < PM10 <= -0.31': -0.04036698165560874, 'Humidity <= -0.74': -0.029388122150695046, 'NO2 > 0.61': 0.027295586117965377, 'PM2.5 <= -0.63': 0.0194856620527914}"
307,"{'Temperature': 21.5, 'Humidity': 69.6, 'PM2.5': 0.3000000000000007, 'PM10': 4.699999999999999, 'NO2': 10.0, 'SO2': 4.9, 'CO': 0.96, 'Proximity_to_Industrial_Areas': 14.2, 'Population_Density': 388.0}",Good,Good,"{'PM10 <= -0.65': -0.040924115391068515, 'CO <= -0.86': -0.031116709731914518, 'PM2.5 <= -0.63': 0.01790196518746089, 'Proximity_to_Industrial_Areas > 0.74': -0.017446645632351595, 'NO2 <= -0.71': -0.016529828266000524}"
308,"{'Temperature': 27.8, 'Humidity': 86.2, 'PM2.5': 4.0, 'PM10': 17.4, 'NO2': 22.2, 'SO2': 11.0, 'CO': 1.57, 'Proximity_to_Industrial_Areas': 5.3, 'Population_Density': 662.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.05222913121190102, '-0.65 < PM10 <= -0.31': -0.04433927881911069, 'Proximity_to_Industrial_Areas <= -0.84': 0.03193822403495138, 'Humidity > 0.65': 0.030707186432294354, 'PM2.5 <= -0.63': 0.023286962061580388}"
309,"{'Temperature': 31.2, 'Humidity': 75.9, 'PM2.5': 57.6, 'PM10': 80.4, 'NO2': 38.9, 'SO2': 28.6, 'CO': 2.15, 'Proximity_to_Industrial_Areas': 3.4000000000000004, 'Population_Density': 463.0}",Poor,Poor,"{'PM10 > 0.30': 0.12083424139452312, 'CO > 0.62': 0.06033241863876575, 'SO2 > 0.55': 0.0403437121204023, 'PM2.5 > 0.25': -0.039234921280329814, 'Proximity_to_Industrial_Areas <= -0.84': 0.03317137500750505}"
310,"{'Temperature': 23.0, 'Humidity': 75.6, 'PM2.5': 4.9, 'PM10': 7.0, 'NO2': 12.7, 'SO2': 3.8, 'CO': 1.05, 'Proximity_to_Industrial_Areas': 10.7, 'Population_Density': 331.0}",Good,Good,"{'PM10 <= -0.65': -0.03986576970578013, 'Population_Density <= -0.75': -0.030843075364531198, '-0.86 < CO <= -0.17': -0.021331217837483048, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.01892593469871807, 'Temperature <= -0.73': -0.017281096020963255}"
311,"{'Temperature': 27.5, 'Humidity': 45.4, 'PM2.5': 31.3, 'PM10': 34.7, 'NO2': 14.0, 'SO2': 7.1, 'CO': 1.04, 'Proximity_to_Industrial_Areas': 11.3, 'Population_Density': 573.0}",Good,Good,"{'PM2.5 > 0.25': -0.030955806583597506, '-0.31 < PM10 <= 0.30': -0.024751138231165298, '-0.86 < CO <= -0.17': -0.017689040937702565, 'NO2 <= -0.71': -0.017630695732464362, 'Humidity <= -0.74': -0.0174917173219286}"
312,"{'Temperature': 17.8, 'Humidity': 61.3, 'PM2.5': 2.0, 'PM10': 8.0, 'NO2': 25.2, 'SO2': 5.0, 'CO': 1.09, 'Proximity_to_Industrial_Areas': 10.2, 'Population_Density': 372.0}",Good,Good,"{'PM10 <= -0.65': -0.041545429130321686, 'Population_Density <= -0.75': -0.03689470532924417, 'PM2.5 <= -0.63': 0.0313248959935226, '-0.86 < CO <= -0.17': -0.027200452768252163, 'Temperature <= -0.73': -0.019247309743091735}"
313,"{'Temperature': 30.2, 'Humidity': 62.7, 'PM2.5': 3.8000000000000007, 'PM10': 11.399999999999999, 'NO2': 13.6, 'SO2': 7.5, 'CO': 1.02, 'Proximity_to_Industrial_Areas': 15.0, 'Population_Density': 270.0}",Good,Good,"{'PM10 <= -0.65': -0.037658063257712454, 'Population_Density <= -0.75': -0.033987398520066346, 'CO <= -0.86': -0.02537648407560424, 'Proximity_to_Industrial_Areas > 0.74': -0.01716745699861829, 'NO2 <= -0.71': -0.016522416771945395}"
314,"{'Temperature': 35.3, 'Humidity': 75.4, 'PM2.5': 8.0, 'PM10': 27.1, 'NO2': 37.3, 'SO2': 9.0, 'CO': 1.82, 'Proximity_to_Industrial_Areas': 21.6, 'Population_Density': 696.0}",Poor,Poor,"{'Population_Density > 0.68': 0.0398056152212876, '-0.31 < PM10 <= 0.30': -0.033889348821448374, 'Temperature > 0.61': 0.031020894575934994, 'NO2 > 0.61': 0.028948554418205288, 'Proximity_to_Industrial_Areas > 0.74': -0.012845173362869833}"
